Year	Code	File name prefix	Author	Work	Licence
1902	lb2245704	OdmannJM_DoldaBrott_1902	Jenny Maria Ödmann	Dolda brott ur Stockholms mysterier af J–y Brn	cc-by	
1913	lb23423	KochM_LitteraraStorverk_1913	Martin Koch	Litterära storverk i västficksformat. Parodier	cc-by	
1800	lb2416751	GranbergPA_Enslighetsalskaren_1800	Per Adolf Granberg	Enslighetsälskaren eller Bref från en ung Man på Landet	cc-by	
1800	lb2428384	WahlstromP_BrefTillEnVan_1800	Pehr Wahlström	Bref till en vän under en Resa i Landsorterna	cc-by	
1916	lb2434107	ManssonF_Rattfardiggorelsen1_1916	Fabian Månsson	I	cc-by	
1916	lb2434108	ManssonF_Rattfardiggorelsen2_1916	Fabian Månsson	I	cc-by	
1828	lb2437993	BremerF_Teckningar1_1828	Fredrika Bremer	Teckningar utur hvardagslifvet. Svenskt original	cc-by	
1809	lb2438633	CederborghF_UnoVonTrasenberg1_1809	Fredrik Cederborgh	Uno von Trasenberg. Berättelse af Friherre Dolk	cc-by	
1809	lb2438634	CederborghF_UnoVonTrasenberg2_1809	Fredrik Cederborgh	Uno von Trasenberg. Berättelse af Friherre Dolk. II Delen	cc-by	
1810	lb2438635	CederborghF_UnoVonTrasenberg3_1810	Fredrik Cederborgh	Uno von Trasenberg. Berättelse af Friherre Dolk. III. Delen	cc-by	
1838	lb2489058	FlygareCarlenE_WaldemarKlein_1838	Emilie Flygare-Carlén	Waldemar Klein	cc-by	
1925	lb249767	JandelR_DenTrangaPorten_1925	Ragnar Jändel	Den trånga porten. En utvecklingshistoria	cc-by	
1903	lb2554869	BenzonK_Detektivbragder_1903	Karl Benzon	Detektivbragder eller Stockholmsmysterier	cc-by	
1919	lb2555986	BergerH_Spoksekretaren_1919	Henning Berger	Spöksekretären och andra noveller	cc-by	
1927	lb2560025	BeskowElisabeth_Vardrommar_1927	Elisabeth Beskow	Vårdrömmar. Berättelser för ungdom	cc-by	
1849	lb2589232	FlygareCarlenE_Romanhjeltinnan_1849	Emilie Flygare-Carlén	Romanhjeltinnan. Novell	cc-by	
1917	lb2623648	DuseSA_DoktorSmirnosDagbok_1917	Samuel August Duse	Doktor Smirnos dagbok. Detektivroman. Privatdetektiven Leo Carrings märkvärdiga upplevelser IV	cc-by	
1935	lb2752427	KrusenstjernaA_AvSammaBlod_1935	Agnes von Krusenstjerna	Fröknarna von Pahlen VII. Av samma blod	cc-by	
1894	lb2894456	MallingM_EnRomanOmForsteKonsuln_1894	Mathilda Malling	En roman om förste konsuln. Från den 18 brumaire till freden i Amiens	cc-by	
